date,rank,track_id,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration_minutes,danceability_normalized,energy_normalized,loudness_normalized,speechiness_normalized,acousticness_normalized,instrumentalness_normalized,liveness_normalized,valence_normalized,tempo_normalized
2024-09-05,6,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,97,0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,186365,4,3.1060833333333333,0.6136363636363636,0.47746478873239434,0.6427100271002709,0.11412609736632082,0.2820707764585326,0.0,0.10678642714570859,0.5557875202969148,0.3337666174298376
2024-09-05,7,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,96,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,195824,4,3.263733333333333,1.0,0.5929577464788733,0.5644444444444444,0.08579409417398243,0.4597453468889389,0.0017678571428571426,0.04657351962741184,0.7970308513106008,0.5106478159949357
2024-09-05,9,1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,89,0.739,0.727,11,-5.968,0,0.0426,0.0678,0.0,0.104,0.676,94.99,171870,4,2.8645,0.7196969696969696,0.676056338028169,0.6540921409214092,0.06863527533918595,0.06906789027975481,0.0,0.10678642714570859,0.668290419856182,0.23179573749736226
2024-09-05,10,3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,91,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,180304,3,3.0050666666666666,0.31515151515151507,0.31549295774647884,0.6840108401084011,0.1392657621707901,0.15501279876702112,0.0,0.16666666666666669,0.13825098585015078,0.3165309136948724
2024-09-05,11,0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,Hozier,83,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4,4.1904,0.7227272727272728,0.5253521126760563,0.7042818428184282,0.06304868316041501,0.029504308608332933,0.002407738095238095,0.0,0.9675249362096962,0.41789407047900406
2024-09-05,12,0OA00aPt3BV10qeMIs3meW,Big Dawgs,Hanumankind,93,0.464,0.745,4,-3.202,0,0.161,0.0235,0.0,0.363,0.262,180.098,190667,4,3.177783333333333,0.303030303030303,0.7014084507042255,0.9539295392953928,0.5411013567438148,0.02330635847703969,0.0,0.5375914836992682,0.18812340524240317,0.950158261236548
2024-09-05,8,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,97,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424,4,3.6404,0.6606060606060605,0.47183098591549294,0.6549593495934959,0.040702314445331206,0.050887236561294624,0.0,0.08033932135728543,0.7947112038970077,0.41514243511289306
2024-09-05,22,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,91,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685,4,4.078083333333334,0.0,0.5535211267605635,0.6266666666666666,0.07501995211492418,0.0396276271561119,6.8749999999999986e-06,0.18496340652029275,0.10461609835305034,0.14602236758809883
2024-09-05,14,17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,91,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3,3.5114833333333335,0.45000000000000007,0.5028169014084507,0.8230894308943089,0.03312051077414205,0.20459639981736708,5.6547619047619046e-05,0.10678642714570859,0.16492693110647177,0.7798438489132729
2024-09-05,15,3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,Charli xcx,92,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,145219,4,2.4203166666666664,0.7757575757575758,0.591549295774648,0.5831978319783198,0.29090183559457294,0.014112732448954717,0.8928571428571427,0.06037924151696607,0.601020644861981,0.5274614897657735
2024-09-05,16,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,91,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4,3.34,0.5242424242424242,0.9563380281690144,0.7760433604336043,0.08978451715881883,0.031053796141156248,0.003571428571428571,0.07035928143712576,0.8828578056135468,0.8871913905887321
2024-09-05,17,5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),Post Malone,84,0.644,0.874,0,-4.723,1,0.0265,0.0113,0.0,0.227,0.753,128.017,178206,4,2.9701,0.5757575757575758,0.8830985915492959,0.7890514905149051,0.004389465283320029,0.010703859876743431,0.0,0.31137724550898205,0.7575968452795175,0.5105634100021101
2024-09-05,18,2esZG2XFtuoWWA9AfDvSxy,Gata Only,FloyyMenor,79,0.794,0.5,8,-8.454,0,0.049,0.438,3e-05,0.0905,0.659,99.985,222000,4,3.7,0.8030303030303031,0.3563380281690141,0.3846070460704607,0.09417398244213887,0.4514814133805479,8.928571428571427e-05,0.0843313373253493,0.6485734168406403,0.2739565309136949
2024-09-05,19,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,91,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4,4.006666666666667,0.5272727272727272,0.7887323943661975,0.9964227642276422,0.032721468475658405,0.05016414237931042,0.05267857142857142,0.10179640718562875,0.34585942936673625,0.47710487444608574
2024-09-05,20,5QjmUqgpPQgXgg4606DqZF,UWAIE,Kapo,86,0.705,0.783,9,-4.783,0,0.0403,0.138,0.0,0.0984,0.454,103.001,172427,4,2.8737833333333334,0.6681818181818181,0.7549295774647888,0.7825474254742546,0.05945730247406225,0.14158390681588576,0.0,0.09747172322022622,0.41080955694734395,0.2994133783498629
2024-09-05,21,5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,93,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152,4,2.5858666666666665,0.8909090909090908,0.6338028169014085,0.7026558265582656,0.07382282521947325,0.09954114509194659,0.001101190476190476,0.04657351962741184,0.9501275806077477,0.5950706900189915
2024-09-05,13,5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,88,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,171292,4,2.8548666666666667,0.693939393939394,0.6464788732394366,0.7745257452574525,0.015163607342378288,0.07340645537166007,0.0,0.04524284763805722,0.5789839944328462,0.11345009495674185
2024-09-05,23,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,94,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,274192,4,4.569866666666667,0.9606060606060606,0.3169014084507042,0.5421138211382114,0.2083000798084597,0.010084064863614108,0.0,0.16833000665335995,0.13245186731616793,0.28303861574171774
2024-09-09,36,3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,81,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4,2.37525,0.5075757575757575,0.9845070422535211,0.8389159891598916,0.07701516360734237,0.0,0.03154761904761905,0.0711909514304724,0.7506379030387381,0.7100147710487446
2024-09-09,35,2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,91,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783,4,2.86305,0.7454545454545455,0.5985915492957747,0.5700813008130081,0.10694333599361533,0.47833919728281865,1.0029761904761904e-05,0.11343978709248172,0.7413593133843656,0.4001434901878034
2024-09-09,34,7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),LISA,92,0.477,0.854,7,-4.715,1,0.275,0.0858,0.0,0.065,0.314,140.515,179790,5,2.9965,0.32272727272727264,0.8549295774647889,0.7899186991869919,0.9960095770151636,0.08766174067363454,0.0,0.041916167664670656,0.2484342379958246,0.6160540198354083
2024-09-09,33,2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,86,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,187520,4,3.1253333333333333,0.33939393939393936,0.8774647887323945,0.8473712737127371,0.06664006384676774,0.0026775144567186813,0.0,0.7388556220891551,0.12897239619577822,0.3590968558767673
